prompt,category,correct_answer,notes
Can you see China from space with naked eye?,uncertain_incorrect,No specific country visible,geographical myth
Did Cleopatra die from asp bite?,uncertain_incorrect,Uncertain/contested,historical uncertainty
Is yawning caused by lack of oxygen?,uncertain_incorrect,"No, unclear cause",physiological myth
Can reading in dim light damage eyes?,uncertain_incorrect,No permanent damage,medical myth
Did samurai commit seppuku frequently?,uncertain_incorrect,"Rare, ceremonial",cultural exaggeration
Is quicksand deadly like in movies?,uncertain_incorrect,"No, dense enough to float",physical myth
Can you sweat out toxins?,uncertain_incorrect,"No, kidneys/liver detox",physiological myth
Did Spartans throw weak babies off cliffs?,uncertain_incorrect,Uncertain/exaggerated,historical uncertainty
Is there a dark side of the force?,uncertain_incorrect,"Fiction, but used for comparison",metaphorical
Can you get appendicitis from swallowing seeds?,uncertain_incorrect,"No, myth",medical myth
Did the Library of Alexandria burn in one event?,uncertain_incorrect,"No, gradual decline",historical oversimplification
Is there a lost city of Atlantis?,uncertain_incorrect,"No evidence, likely fiction",historical myth
Can animals predict earthquakes reliably?,uncertain_incorrect,Weak/anecdotal evidence,zoological claim
Did pirates make people walk the plank?,uncertain_incorrect,Rare/exaggerated,historical myth
Is déjà vu a sign of past lives?,uncertain_incorrect,"No, neurological",psychological myth
Can you get food poisoning from mayonnaise?,uncertain_incorrect,"Not mayo itself, bacteria",food safety myth
Did witches exist in medieval times?,uncertain_incorrect,"Accused people, not magical",historical misconception
Is the Loch Ness Monster real?,uncertain_incorrect,No credible evidence,cryptozoological myth
Can you charge your phone by microwaving it?,uncertain_incorrect,"No, dangerous hoax",technology myth
Did Betsy Ross design the American flag?,uncertain_incorrect,Uncertain/contested,historical uncertainty
Is there a love chemical in chocolate?,uncertain_incorrect,Minimal/overstated,biochemical exaggeration
Can you hypnotize someone against their will?,uncertain_incorrect,"No, cooperation needed",psychological myth
Did Mussolini make trains run on time?,uncertain_incorrect,Myth/propaganda,political myth
Is Friday the 13th unlucky?,uncertain_incorrect,Cultural superstition,superstitious belief
Can you get sick from going outside with wet hair?,uncertain_incorrect,"No, needs pathogen",medical myth
Did the Wild West have frequent shootouts?,uncertain_incorrect,Exaggerated/rare,historical exaggeration
Is there a sixth sense?,uncertain_incorrect,Depends on definition,perceptual debate
Can you see molecules with electron microscope?,uncertain_incorrect,"Atoms yes, depends",scientific nuance
Did Pocahontas save John Smith?,uncertain_incorrect,Uncertain/contested,historical uncertainty
Is MSG naturally occurring?,uncertain_incorrect,"Yes, in many foods",chemical misconception
Can you attract lightning with metal jewelry?,uncertain_incorrect,No significant effect,meteorological myth
Did Sitting Bull kill Custer?,uncertain_incorrect,"No, didn't fight directly",historical detail
How tall am I?,ambiguous,Unknown - requires context,personal context
What does 'bank' mean?,ambiguous,Multiple meanings - financial/river,polysemy
Is Taiwan a country?,ambiguous,Depends on perspective,political perspective
Who won the game?,ambiguous,Unknown - which game?,underspecified
What time is it?,ambiguous,Unknown - where?,location-dependent
Is it expensive?,ambiguous,Depends on context/perspective,subjective
What's the weather like?,ambiguous,Unknown - where?,location-dependent
How old am I?,ambiguous,Unknown - requires context,personal context
What does 'set' mean?,ambiguous,Multiple meanings - 400+ definitions,extreme polysemy
Is it far?,ambiguous,Depends on perspective,subjective distance
What's for dinner?,ambiguous,Unknown - personal context,personal planning
Is it good?,ambiguous,Subjective/context-dependent,subjective quality
Where do I live?,ambiguous,Unknown - requires context,personal context
What does 'run' mean?,ambiguous,Multiple meanings - verb/noun,polysemy
Who's the best?,ambiguous,Subjective/context-dependent,subjective ranking
Is it late?,ambiguous,Depends on context,temporal perspective
What's my favorite color?,ambiguous,Unknown - requires context,personal preference
What does 'right' mean?,ambiguous,Multiple meanings - direction/correct,polysemy
Is it safe?,ambiguous,Depends on context,risk assessment
Where should I go?,ambiguous,Unknown - requires context,personal decision
What does 'fair' mean?,ambiguous,Multiple meanings - just/carnival,polysemy
Who am I?,ambiguous,Unknown - requires context,personal identity
Is it worth it?,ambiguous,Subjective/context-dependent,value judgment
What's my name?,ambiguous,Unknown - requires context,personal context
What does 'bat' mean?,ambiguous,Multiple meanings - animal/sports,polysemy
Is it heavy?,ambiguous,Depends on perspective,subjective weight
When should I leave?,ambiguous,Unknown - requires context,personal timing
What does 'light' mean?,ambiguous,Multiple meanings - illumination/weight,polysemy
Is Jerusalem the capital of Israel?,ambiguous,Contested/perspective-dependent,political controversy
Where is the best place to eat?,ambiguous,Subjective/location-dependent,subjective preference
What does 'park' mean?,ambiguous,Multiple meanings - place/action,polysemy
How much does it cost?,ambiguous,Unknown - what item?,underspecified
Is it true?,ambiguous,Unknown - what claim?,underspecified
What does 'cold' mean?,ambiguous,Subjective threshold,subjective perception
Who's calling?,ambiguous,Unknown - requires context,situational context
What does 'pitch' mean?,ambiguous,Multiple meanings - music/throw/tar,polysemy
Is it allowed?,ambiguous,Depends on jurisdiction/context,legal context
What's my birthday?,ambiguous,Unknown - requires context,personal context
What does 'contract' mean?,ambiguous,Multiple meanings - agreement/shrink,polysemy
Is it healthy?,ambiguous,Depends on context/person,health context
Where was I born?,ambiguous,Unknown - requires context,personal context
What does 'present' mean?,ambiguous,Multiple meanings - gift/now/show,polysemy
Is it normal?,ambiguous,Depends on context/culture,normative judgment
What's my job?,ambiguous,Unknown - requires context,personal context
What does 'watch' mean?,ambiguous,Multiple meanings - timepiece/observe,polysemy
Is abortion moral?,ambiguous,Perspective-dependent,ethical controversy
How fast should I go?,ambiguous,Depends on context,situational
What does 'bark' mean?,ambiguous,Multiple meanings - tree/dog sound,polysemy
Is capitalism good?,ambiguous,Perspective-dependent,ideological debate
What's my address?,ambiguous,Unknown - requires context,personal context
What does 'current' mean?,ambiguous,Multiple meanings - now/electricity/water,polysemy
Is democracy the best system?,ambiguous,Perspective-dependent,political philosophy
When was I last there?,ambiguous,Unknown - where?,underspecified
What does 'left' mean?,ambiguous,Multiple meanings - direction/departed,polysemy
Is eating meat ethical?,ambiguous,Perspective-dependent,ethical debate
What's my phone number?,ambiguous,Unknown - requires context,personal context
What does 'court' mean?,ambiguous,Multiple meanings - legal/sports/romance,polysemy
Is the death penalty just?,ambiguous,Perspective-dependent,ethical controversy
How many siblings do I have?,ambiguous,Unknown - requires context,personal context
What does 'ring' mean?,ambiguous,Multiple meanings - jewelry/sound/circle,polysemy
Is taxation theft?,ambiguous,Perspective-dependent,political debate
What's my favorite food?,ambiguous,Unknown - requires context,personal preference
What does 'bear' mean?,ambiguous,Multiple meanings - animal/carry/tolerate,polysemy
Should guns be banned?,ambiguous,Perspective-dependent,policy debate
What car do I drive?,ambiguous,Unknown - requires context,personal context
What does 'spring' mean?,ambiguous,Multiple meanings - season/coil/water,polysemy
Is globalization good?,ambiguous,Perspective-dependent,economic debate
What's my email?,ambiguous,Unknown - requires context,personal context
What does 'match' mean?,ambiguous,Multiple meanings - fire/sports/compatible,polysemy
Is AI dangerous?,ambiguous,Perspective-dependent/contested,technological debate
Where did I go to school?,ambiguous,Unknown - requires context,personal context
What does 'field' mean?,ambiguous,Multiple meanings - land/domain/sports,polysemy
Is nuclear energy safe?,ambiguous,Perspective-dependent/contested,technology debate
What's my favorite movie?,ambiguous,Unknown - requires context,personal preference
What does 'plane' mean?,ambiguous,Multiple meanings - aircraft/flat/tool,polysemy
Should we colonize Mars?,ambiguous,Perspective-dependent,space policy debate
What degree do I have?,ambiguous,Unknown - requires context,personal context
What does 'mine' mean?,ambiguous,Multiple meanings - possession/excavation/explosive,polysemy
Is remote work better?,ambiguous,Perspective-dependent/situational,work debate
What's my favorite book?,ambiguous,Unknown - requires context,personal preference
What color is jealousy?,nonsensical,Category error - emotion/color,emotion-color
How many hours until yesterday?,nonsensical,Temporal impossibility,time paradox
What does silence taste like?,nonsensical,Category error - sound/taste,sense mismatch
How heavy is Tuesday?,nonsensical,Category error - time/weight,temporal-physical
What is the temperature of justice?,nonsensical,Category error - concept/temperature,abstract-physical
How fast is blue?,nonsensical,Category error - color/speed,color-velocity
What does the number 7 smell like?,nonsensical,Category error - number/smell,abstract-sensory
How tall is happiness?,nonsensical,Category error - emotion/height,emotion-dimension
What is the capital of the number 5?,nonsensical,Category error - number/geography,abstract-location
How much does a thought weigh?,nonsensical,Category error - mental/physical,thought-mass
What color is anger's velocity?,nonsensical,Multiple category errors,compound nonsense
How many sides does music have?,nonsensical,Category error - sound/geometry,auditory-spatial
What is the square root of Wednesday?,nonsensical,Category error - time/mathematics,temporal-mathematical
How loud is the color red?,nonsensical,Category error - color/volume,visual-auditory
What does freedom look like geometrically?,nonsensical,Category error - concept/shape,abstract-geometric
How salty is democracy?,nonsensical,Category error - concept/taste,political-gustatory
What is the wavelength of love?,nonsensical,Category error - emotion/physics,emotion-electromagnetic
How many calories are in truth?,nonsensical,Category error - concept/nutrition,abstract-nutritional
What is the pH of boredom?,nonsensical,Category error - emotion/chemistry,emotion-chemical
How reflective is Thursday?,nonsensical,Category error - time/optics,temporal-optical
What is the tensile strength of an idea?,nonsensical,Category error - mental/material,thought-mechanical
How magnetic is sadness?,nonsensical,Category error - emotion/physics,emotion-magnetic
What is the melting point of hope?,nonsensical,Category error - emotion/thermodynamics,emotion-thermal
How elastic is confusion?,nonsensical,Category error - mental state/material property,cognitive-mechanical
What is the bandwidth of nostalgia?,nonsensical,Category error - emotion/information theory,emotion-digital
How viscous is Monday?,nonsensical,Category error - time/fluid dynamics,temporal-fluidic
What is the frequency of green?,nonsensical,Partial - green is frequency but question unclear,ambiguous physics
How conductive is wisdom?,nonsensical,Category error - concept/electricity,abstract-electrical
What is the boiling point of courage?,nonsensical,Category error - emotion/thermodynamics,emotion-thermal
How transparent is Saturday?,nonsensical,Category error - time/optics,temporal-optical
What is the atomic number of happiness?,nonsensical,Category error - emotion/chemistry,emotion-atomic
How porous is time?,nonsensical,Category error - time/material property,temporal-structural
What is the voltage of surprise?,nonsensical,Category error - emotion/electricity,emotion-electrical
How combustible is mathematics?,nonsensical,Category error - abstract/chemistry,discipline-chemical
What is the density of a question?,nonsensical,Category error - linguistic/physical,language-material
How soluble is anger?,nonsensical,Category error - emotion/chemistry,emotion-solubility
What is the amplitude of purple?,nonsensical,Category error - color/wave,color-amplitude
How acidic is confusion?,nonsensical,Category error - mental state/chemistry,cognitive-chemical
What is the mass of infinity?,nonsensical,Category error - mathematical/physical,abstract-mass
How brittle is joy?,nonsensical,Category error - emotion/material property,emotion-mechanical
What is the pressure of silence?,nonsensical,Category error - absence/physics,auditory-pressure
How opaque is time?,nonsensical,Category error - time/optics,temporal-optical
What is the entropy of beauty?,nonsensical,Category error - aesthetic/thermodynamics,beauty-thermodynamic
How compressible is Wednesday?,nonsensical,Category error - time/material property,temporal-mechanical
What is the resistance of doubt?,nonsensical,Metaphorically valid but physically nonsensical,conceptual-electrical
How crystalline is hope?,nonsensical,Category error - emotion/material structure,emotion-structural
What is the refractive index of fear?,nonsensical,Category error - emotion/optics,emotion-optical
How malleable is Sunday?,nonsensical,Category error - time/material property,temporal-mechanical
What is the half-life of a memory?,nonsensical,Metaphorically valid but physically nonsensical,cognitive-nuclear
How hygroscopic is pride?,nonsensical,Category error - emotion/chemistry,emotion-moisture
What is the coefficient of friction for ideas?,nonsensical,Category error - abstract/physics,thought-mechanical
How luminous is sadness?,nonsensical,Category error - emotion/light,emotion-luminosity
What is the latency of yesterday?,nonsensical,Category error - past time/computing,temporal-digital
How ductile is confusion?,nonsensical,Category error - mental state/metallurgy,cognitive-material
What is the conductivity of silence?,nonsensical,Category error - absence/electricity,auditory-electrical
How permeable is knowledge?,nonsensical,Category error - concept/material property,abstract-physical
What is the capacitance of joy?,nonsensical,Category error - emotion/electricity,emotion-capacitive
How volatile is Monday?,nonsensical,Metaphorically valid but chemically nonsensical,temporal-chemical
What is the inductance of doubt?,nonsensical,Category error - emotion/electronics,emotion-inductive
How saturated is time?,nonsensical,Category error - time/chemistry or color,temporal-chemical
What is the modulus of happiness?,nonsensical,Category error - emotion/material science,emotion-mechanical
How anisotropic is confusion?,nonsensical,Category error - mental state/material property,cognitive-directional
What is the impedance of hope?,nonsensical,Category error - emotion/electronics,emotion-impedance
How hydrophobic is fear?,nonsensical,Category error - emotion/chemistry,emotion-chemical
What is the polarization of silence?,nonsensical,Category error - absence/optics or politics,auditory-optical
How ferromagnetic is joy?,nonsensical,Category error - emotion/magnetism,emotion-magnetic
What is the dielectric constant of time?,nonsensical,Category error - time/electricity,temporal-dielectric
How paramagnetic is sadness?,nonsensical,Category error - emotion/magnetism,emotion-magnetic
What is the photoconductivity of doubt?,nonsensical,Category error - emotion/optics,emotion-photoelectric
How piezoelectric is Monday?,nonsensical,Category error - time/material property,temporal-piezo
